分类名称,模型名称,模型参数
水生根茎类,对数函数,[-26.11035516 2.51727164  83.60511972]
花叶类,对数函数,[-36.00775817   2.35435122 209.756959  ]
花菜类,线性函数,[-2.89165146 64.2021206 ]
茄类,对数函数,[-8.16177241  1.62367199 36.4701182 ]
辣椒类,对数函数,[-17.07560033   3.10816607 105.16379865]
食用菌,线性函数,[-3.28878025 92.53732638]
